Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,200.0,102.5,0.0,1.4,103.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,200.0,102.5,0.0,1.4,103.9,5.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,75,75.0,1229.0,62.0,0.0,0.0,62.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Buckeye Cablevision, Inc.",MICHIGAN,12973.5878199527,Cable,600,10.0,inf,109.99,0.0,0.0,109.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
Michigan Bell Telephone Company,MICHIGAN,29618.8484575429,DSL,75,20.0,1024.0,70.0,0.0,0.0,70.0,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,1200,200.0,1229.0,122.0,0.0,0.0,122.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,800,20.0,1229.0,102.0,0.0,0.0,102.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,317841.6125,Fiber,10000,10000.0,inf,299.95,0.0,0.0,299.95,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
Michigan Bell Telephone Company,MICHIGAN,29618.8484575429,DSL,50,10.0,1024.0,70.0,0.0,0.0,70.0,0.0
Michigan Bell Telephone Company,MICHIGAN,29618.8484575429,DSL,100,20.0,inf,70.0,0.0,0.0,70.0,0.0
Michigan Bell Telephone Company,MICHIGAN,148094.242287715,Fiber,1000,1000.0,inf,85.0,0.0,0.0,85.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,1000,100.0,1229.0,112.0,0.0,0.0,112.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,400,10.0,1229.0,92.0,0.0,0.0,92.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,75,10.0,1229.0,62.0,0.0,0.0,62.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,800,20.0,1229.0,102.0,0.0,0.0,102.0,0.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,150.0,77.5,0.0,1.4,78.9,5.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
Michigan Bell Telephone Company,MICHIGAN,148094.242287715,Fiber,5000,5000.0,inf,255.0,0.0,0.0,255.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
Michigan Bell Telephone Company,MICHIGAN,148094.242287715,Fiber,1000,1000.0,inf,85.0,0.0,0.0,85.0,0.0
"Charter Communications, Inc.",MICHIGAN,260531.3,Cable,1000,35.0,inf,119.99,0.0,0.0,119.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,800,100.0,1229.0,102.0,0.0,0.0,102.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,400,100.0,1229.0,92.0,0.0,0.0,92.0,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,75,10.0,1229.0,62.0,0.0,0.0,62.0,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,75,75.0,1229.0,62.0,0.0,0.0,62.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,1000,20.0,1229.0,112.0,0.0,0.0,112.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"MetroNet Holdings, LLC",MICHIGAN,12973.5878199527,Fiber,1000,1000.0,inf,64.95,0.0,12.0,76.95,10.0
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,1200,35.0,1229.0,122.0,0.0,0.0,122.0,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,200,10.0,1229.0,82.0,0.0,0.0,82.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,150.0,77.5,0.0,1.4,78.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,2363.1125,Fixed wireless,2,0.2,100.0,52.5,0.0,1.4,53.9,5.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
Michigan Bell Telephone Company,MICHIGAN,29618.8484575429,DSL,100,20.0,inf,70.0,0.0,0.0,70.0,0.0
Michigan Bell Telephone Company,MICHIGAN,29618.8484575429,DSL,10,1.0,1024.0,70.0,0.0,0.0,70.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Charter Communications, Inc.",MICHIGAN,260531.3,Cable,300,10.0,inf,79.99,0.0,0.0,79.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,317841.6125,Fiber,10000,10000.0,inf,299.95,0.0,0.0,299.95,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,200,10.0,1229.0,82.0,0.0,0.0,82.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,150.0,77.5,0.0,1.4,78.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,150.0,77.5,0.0,1.4,78.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,200.0,102.5,0.0,1.4,103.9,5.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,800,100.0,1229.0,102.0,0.0,0.0,102.0,0.0
Michigan Bell Telephone Company,MICHIGAN,29618.8484575429,DSL,100,20.0,inf,70.0,0.0,0.0,70.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,1000,20.0,1229.0,112.0,0.0,0.0,112.0,0.0
"Buckeye Cablevision, Inc.",MICHIGAN,12973.5878199527,Cable,1000,10.0,inf,139.99,0.0,0.0,139.99,0.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,300.0,152.5,0.0,1.4,153.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,4726.225,Fixed wireless,25,3.0,inf,52.5,0.0,1.4,53.9,5.0
"MetroNet Holdings, LLC",MICHIGAN,12973.5878199527,Fiber,2000,2000.0,inf,99.95,0.0,12.0,111.95,0.0
"T-Mobile USA, Inc.",MICHIGAN,2363.1125,Fixed wireless,2,0.2,100.0,52.5,0.0,1.4,53.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,14178.675,Fixed wireless,2,0.2,10.0,10.0,0.0,1.4,11.4,0.0
"T-Mobile USA, Inc.",MICHIGAN,14178.675,Fixed wireless,2,0.2,25.0,20.0,0.0,1.4,21.4,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,317841.6125,Fiber,10000,10000.0,inf,299.95,0.0,0.0,299.95,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,1200,200.0,1229.0,122.0,0.0,0.0,122.0,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,1200,200.0,1229.0,122.0,0.0,0.0,122.0,0.0
"Point Broadband Fiber Holding, LLC",MICHIGAN,6486.79390997637,Fixed wireless,50,10.0,inf,114.95,0.0,0.0,114.95,0.0
"Point Broadband Fiber Holding, LLC",MICHIGAN,6486.79390997637,Fiber,500,500.0,inf,104.95,0.0,10.0,114.95,20.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,75,10.0,1229.0,62.0,0.0,0.0,62.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
Michigan Bell Telephone Company,MICHIGAN,29618.8484575429,DSL,75,20.0,1024.0,70.0,0.0,0.0,70.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
Michigan Bell Telephone Company,MICHIGAN,29618.8484575429,DSL,25,5.0,1024.0,70.0,0.0,0.0,70.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,1200,35.0,1229.0,122.0,0.0,0.0,122.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,5152.0875,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,400,10.0,1229.0,92.0,0.0,0.0,92.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"T-Mobile USA, Inc.",MICHIGAN,2363.1125,Fixed wireless,2,0.2,100.0,52.5,0.0,1.4,53.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,200.0,102.5,0.0,1.4,103.9,5.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,800,20.0,1229.0,102.0,0.0,0.0,102.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,1200,35.0,1229.0,122.0,0.0,0.0,122.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Buckeye Cablevision, Inc.",MICHIGAN,12973.5878199527,Cable,600,10.0,inf,109.99,0.0,0.0,109.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"MetroNet Holdings, LLC",MICHIGAN,12973.5878199527,Fiber,500,500.0,inf,49.95,0.0,12.0,61.95,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,400,100.0,1229.0,92.0,0.0,0.0,92.0,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,75,75.0,1229.0,62.0,0.0,0.0,62.0,0.0
"T-Mobile USA, Inc.",MICHIGAN,14178.675,Fixed wireless,2,0.2,30.0,12.5,0.0,1.4,13.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,300.0,152.5,0.0,1.4,153.9,5.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"T-Mobile USA, Inc.",MICHIGAN,14178.675,Fixed wireless,2,0.2,10.0,10.0,0.0,1.4,11.4,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"T-Mobile USA, Inc.",MICHIGAN,2363.1125,Fixed wireless,2,0.2,100.0,52.5,0.0,1.4,53.9,5.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,1000,20.0,1229.0,112.0,0.0,0.0,112.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,200,10.0,1229.0,82.0,0.0,0.0,82.0,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,200,100.0,1229.0,82.0,0.0,0.0,82.0,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,200,100.0,1229.0,82.0,0.0,0.0,82.0,0.0
"Point Broadband Fiber Holding, LLC",MICHIGAN,12973.5878199527,Fiber,200,200.0,inf,74.95,0.0,10.0,84.95,20.0
"Point Broadband Fiber Holding, LLC",MICHIGAN,12973.5878199527,Fixed wireless,25,3.0,inf,74.95,0.0,0.0,74.95,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50.0,inf,99.99,0.0,1.0,100.99,0.0
"T-Mobile USA, Inc.",MICHIGAN,14178.675,Fixed wireless,2,0.2,25.0,20.0,0.0,1.4,21.4,0.0
"T-Mobile USA, Inc.",MICHIGAN,14178.675,Fixed wireless,2,0.2,30.0,12.5,0.0,1.4,13.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,300.0,152.5,0.0,1.4,153.9,5.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,1000,100.0,1229.0,112.0,0.0,0.0,112.0,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10.0,inf,49.99,0.0,1.0,50.99,0.0
"Point Broadband Fiber Holding, LLC",MICHIGAN,12973.5878199527,Fixed wireless,10,1.0,inf,64.95,0.0,0.0,64.95,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,400,10.0,1229.0,92.0,0.0,0.0,92.0,0.0
"Point Broadband Fiber Holding, LLC",MICHIGAN,12973.5878199527,Fiber,1000,1000.0,inf,124.95,0.0,10.0,134.95,20.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
Michigan Bell Telephone Company,MICHIGAN,29618.8484575429,DSL,10,1.0,1024.0,70.0,0.0,0.0,70.0,0.0
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,300.0,152.5,0.0,1.4,153.9,5.0
"T-Mobile USA, Inc.",MICHIGAN,4726.225,Fixed wireless,25,3.0,inf,52.5,0.0,1.4,53.9,5.0
Michigan Bell Telephone Company,MICHIGAN,148094.242287715,Fiber,5000,5000.0,inf,255.0,0.0,0.0,255.0,0.0
"MetroNet Holdings, LLC",MICHIGAN,12973.5878199527,Fiber,100,100.0,inf,29.95,0.0,12.0,41.95,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10.0,inf,44.99,0.0,1.0,45.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5.0,inf,24.99,0.0,1.0,25.99,0.0
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50.0,inf,79.99,0.0,1.0,80.99,0.0
"Comcast Cable Communications, LLC",MICHIGAN,158920.80625,Cable,800,100.0,1229.0,102.0,0.0,0.0,102.0,0.0
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50.0,inf,59.99,0.0,1.0,60.99,0.0
